student_id,club_id,club_name,hours
5597,club010,Berlin,2
5597,club011,Munich,2
5597,club025,Thessaloniki,2
5597,club040,Riga,2
5597,club043,Belfast,2
5598,club021,Belgrade,2
5598,club023,Bucharest,2
5598,club026,Nicosia,2
5598,club032,Venice,2
5598,club035,Oslo,2
5599,club010,Berlin,2
5599,club019,Ljubljana,2
5599,club027,Valletta,2
5599,club029,Milan,2
5599,club033,Geneva,2
5600,club016,Warsaw,2
5600,club026,Nicosia,2
5600,club034,Zurich,2
5600,club042,Dublin,2
5600,club059,Chisinau,2
5601,club011,Munich,2
5601,club015,Budapest,2
5601,club021,Belgrade,2
5601,club034,Zurich,2
5601,club056,Skopje,2
5602,club008,Amsterdam,2
5602,club020,Zagreb,2
5602,club034,Zurich,2
5602,club041,Vilnius,2
5602,club054,Vaduz,2
5603,club010,Berlin,2
5603,club032,Venice,2
5603,club038,Helsinki,2
5603,club046,London,2
5603,club047,Manchester,2
5604,club014,Prague,2
5604,club020,Zagreb,2
5604,club038,Helsinki,2
5604,club055,Sarajevo,2
5604,club056,Skopje,2
5605,club010,Berlin,2
5605,club019,Ljubljana,2
5605,club026,Nicosia,2
5605,club050,Luxembourg City,2
5605,club056,Skopje,2
5606,club006,Marseille,2
5606,club027,Valletta,2
5606,club028,Rome,2
5606,club044,Edinburgh,2
5606,club057,Tirana,2
5607,club018,Bratislava,2
5607,club023,Bucharest,2
5607,club027,Valletta,2
5607,club042,Dublin,2
5607,club059,Chisinau,2
5608,club006,Marseille,2
5608,club008,Amsterdam,2
5608,club022,Sofia,2
5608,club028,Rome,2
5608,club038,Helsinki,2
5609,club008,Amsterdam,2
5609,club009,Rotterdam,2
5609,club018,Bratislava,2
5609,club019,Ljubljana,2
5609,club020,Zagreb,2
5610,club005,Lyon,2
5610,club021,Belgrade,2
5610,club040,Riga,2
5610,club049,Reykjavik,2
5610,club057,Tirana,2
5611,club005,Lyon,2
5611,club017,Krakow,2
5611,club034,Zurich,2
5611,club036,Stockholm,2
5611,club041,Vilnius,2
5612,club022,Sofia,2
5612,club027,Valletta,2
5612,club035,Oslo,2
5612,club040,Riga,2
5612,club050,Luxembourg City,2
5613,club005,Lyon,2
5613,club011,Munich,2
5613,club013,Vienna,2
5613,club014,Prague,2
5613,club023,Bucharest,2
5614,club011,Munich,2
5614,club016,Warsaw,2
5614,club033,Geneva,2
5614,club039,Tallinn,2
5614,club054,Vaduz,2
5615,club005,Lyon,2
5615,club015,Budapest,2
5615,club018,Bratislava,2
5615,club019,Ljubljana,2
5615,club050,Luxembourg City,2
5616,club032,Venice,2
5616,club039,Tallinn,2
5616,club042,Dublin,2
5616,club052,Andorra la Vella,2
5616,club055,Sarajevo,2
5617,club019,Ljubljana,2
5617,club030,Turin,2
5617,club038,Helsinki,2
5617,club045,Glasgow,2
5617,club054,Vaduz,2
5618,club003,Barcelona,4
5618,club011,Munich,2
5618,club022,Sofia,2
5618,club038,Helsinki,2
5619,club009,Rotterdam,2
5619,club010,Berlin,2
5619,club022,Sofia,2
5619,club029,Milan,2
5619,club042,Dublin,2
5620,club026,Nicosia,2
5620,club034,Zurich,2
5620,club036,Stockholm,2
5620,club042,Dublin,2
5620,club048,Birmingham,2
5621,club014,Prague,2
5621,club016,Warsaw,2
5621,club018,Bratislava,2
5621,club019,Ljubljana,2
5621,club032,Venice,2
5622,club001,Lisbon,4
5622,club005,Lyon,2
5622,club036,Stockholm,2
5622,club050,Luxembourg City,2
5623,club006,Marseille,2
5623,club010,Berlin,2
5623,club035,Oslo,2
5623,club038,Helsinki,2
5623,club050,Luxembourg City,2
5624,club005,Lyon,2
5624,club007,Brussels,2
5624,club019,Ljubljana,2
5624,club052,Andorra la Vella,2
5624,club056,Skopje,2
5625,club020,Zagreb,2
5625,club021,Belgrade,2
5625,club023,Bucharest,2
5625,club032,Venice,2
5625,club050,Luxembourg City,2
5626,club038,Helsinki,2
5626,club039,Tallinn,2
5626,club049,Reykjavik,2
5626,club052,Andorra la Vella,2
5626,club059,Chisinau,2
5627,club013,Vienna,2
5627,club025,Thessaloniki,2
5627,club034,Zurich,2
5627,club035,Oslo,2
5627,club055,Sarajevo,2
5629,club008,Amsterdam,2
5629,club017,Krakow,2
5629,club022,Sofia,2
5629,club033,Geneva,2
5629,club039,Tallinn,2
5630,club001,Lisbon,4
5630,club026,Nicosia,2
5630,club036,Stockholm,2
5630,club042,Dublin,2
5631,club016,Warsaw,2
5631,club021,Belgrade,2
5631,club030,Turin,2
5631,club049,Reykjavik,2
5631,club056,Skopje,2
5633,club007,Brussels,2
5633,club015,Budapest,2
5633,club017,Krakow,2
5633,club030,Turin,2
5633,club040,Riga,2
5634,club005,Lyon,2
5634,club019,Ljubljana,2
5634,club044,Edinburgh,2
5634,club047,Manchester,2
5634,club059,Chisinau,2
5635,club009,Rotterdam,2
5635,club013,Vienna,2
5635,club053,San Marino,2
5635,club055,Sarajevo,2
5635,club056,Skopje,2
5636,club005,Lyon,2
5636,club007,Brussels,2
5636,club016,Warsaw,2
5636,club047,Manchester,2
5636,club056,Skopje,2
5637,club015,Budapest,2
5637,club018,Bratislava,2
5637,club042,Dublin,2
5637,club047,Manchester,2
5637,club056,Skopje,2
5638,club001,Lisbon,4
5638,club011,Munich,2
5638,club013,Vienna,2
5638,club014,Prague,2
5639,club009,Rotterdam,2
5639,club019,Ljubljana,2
5639,club026,Nicosia,2
5639,club034,Zurich,2
5639,club055,Sarajevo,2
5640,club005,Lyon,2
5640,club031,Florence,2
5640,club054,Vaduz,2
5640,club055,Sarajevo,2
5640,club057,Tirana,2
5641,club010,Berlin,2
5641,club011,Munich,2
5641,club015,Budapest,2
5641,club027,Valletta,2
5641,club028,Rome,2
5642,club010,Berlin,2
5642,club014,Prague,2
5642,club031,Florence,2
5642,club044,Edinburgh,2
5642,club053,San Marino,2
5643,club008,Amsterdam,2
5643,club009,Rotterdam,2
5643,club011,Munich,2
5643,club042,Dublin,2
5643,club050,Luxembourg City,2
5644,club018,Bratislava,2
5644,club028,Rome,2
5644,club039,Tallinn,2
5644,club040,Riga,2
5644,club047,Manchester,2
5645,club014,Prague,2
5645,club022,Sofia,2
5645,club030,Turin,2
5645,club050,Luxembourg City,2
5645,club059,Chisinau,2
5646,club001,Lisbon,4
5646,club016,Warsaw,2
5646,club033,Geneva,2
5646,club059,Chisinau,2
5647,club021,Belgrade,2
5647,club025,Thessaloniki,2
5647,club040,Riga,2
5647,club054,Vaduz,2
5647,club057,Tirana,2
5648,club015,Budapest,2
5648,club017,Krakow,2
5648,club023,Bucharest,2
5648,club041,Vilnius,2
5648,club042,Dublin,2
5650,club008,Amsterdam,2
5650,club025,Thessaloniki,2
5650,club028,Rome,2
5650,club048,Birmingham,2
5650,club053,San Marino,2
5651,club007,Brussels,2
5651,club023,Bucharest,2
5651,club027,Valletta,2
5651,club039,Tallinn,2
5651,club040,Riga,2
5652,club017,Krakow,2
5652,club020,Zagreb,2
5652,club027,Valletta,2
5652,club028,Rome,2
5652,club044,Edinburgh,2
5653,club025,Thessaloniki,2
5653,club034,Zurich,2
5653,club036,Stockholm,2
5653,club043,Belfast,2
5653,club055,Sarajevo,2
5654,club018,Bratislava,2
5654,club022,Sofia,2
5654,club025,Thessaloniki,2
5654,club048,Birmingham,2
5654,club057,Tirana,2
5655,club021,Belgrade,2
5655,club023,Bucharest,2
5655,club029,Milan,2
5655,club038,Helsinki,2
5655,club046,London,2
