student_id,clubs_assigned,num_clubs,hours_assigned
5616,"Venice, Tallinn, Dublin, Andorra la Vella",4,8
5617,"Turin, Helsinki, Glasgow, Vaduz",4,8
5629,"Krakow, Sofia, Geneva, Tallinn",4,8
5631,"Warsaw, Belgrade, Turin, Copenhagen",4,8
5640,"Lyon, Florence, Sarajevo, Podgorica",4,8
5662,"Brussels, Milan, Helsinki, Andorra la Vella",4,8
5681,"Nicosia, Geneva, Monaco, Chisinau",4,8
5682,"Budapest, Riga, Vaduz, Skopje",4,8
5684,"Marseille, Riga, Vilnius, London",4,8
5687,"Amsterdam, Berlin, Manchester, Luxembourg City",4,8
5721,"Rotterdam, Warsaw, Glasgow, Manchester",4,8
5722,"Krakow, Bratislava, Zurich, London",4,8
