student_id,drop_club,alternative_club,improvement,approved,executed,notes
5635,Rotterdam,Athens,1,NA,NA,
5707,Rotterdam,Milan,1,NA,NA,
5659,Munich,Milan,2,NA,NA,
5725,Munich,Andorra la Vella,1,NA,NA,
5682,Ljubljana,Belfast,1,NA,NA,
5637,Budapest,Athens,1,NA,NA,
5681,Nicosia,Monaco,1,NA,NA,
5709,Chisinau,Brussels,1,NA,NA,
5674,Rome,Monaco,2,NA,NA,
5645,Luxembourg City,Athens,2,NA,NA,
5735,Sarajevo,Copenhagen,1,NA,NA,
5677,Zagreb,Oslo,2,NA,NA,
5677,Zagreb,Sarajevo,1,NA,NA,
5659,Munich,Milan,2,NA,NA,
5684,Sarajevo,Monaco,1,NA,NA,
